mutant,fault_class,killed_by,detail
WM_95414_MUTANT_WRONG_PROJECTION_SRA,wrong shift,A.e1.a,projection sra 11 instead of 12
WM_95414_MUTANT_SCALE_MODE_SWAP,swapped arguments,A.951a8.d,fallback passes (mode scale) instead of (scale mode)
WM_95414_MUTANT_MODE_MASKED,wrong width,A.951a8.e,mode passthrough masked to 16 bits
WM_95414_MUTANT_CACHE_NO_RESET,missing store,A.cache.node,fallback skips the -1 cache resets
WM_95414_MUTANT_FILTER_STEP,off-by-one,B.951a8.called,filter counter steps 1 instead of 2 (all-filtered exit missed)
WM_95414_MUTANT_ATTR_WIDTH,wrong signedness,E.158.attr.lhu,85158 attr arg sign-extended instead of lhu
WM_95414_MUTANT_PROX_BOUNDARY,off-by-one boundary,C.out4,acceptance slti 12 instead of 11 (diff=11 accepted)
WM_95414_MUTANT_HEIGHT_SHIFT,wrong shift,C.out4,height snap << 11 instead of << 12
WM_95414_MUTANT_CACHE_SWAPPED,swapped stores,C.attr,C840/C16C receive each other's value
WM_95414_MUTANT_JT_SLOT_SWAP,wrong jump-table case,G2.ret,slots 1 and 2 handlers exchanged
WM_95414_MUTANT_LINK_OFFSET,wrong offset,H2.952b0.count,slot 4 reads link +8 instead of +0xA
WM_95414_MUTANT_TYPE_POLARITY,wrong branch polarity,G2.ret,walk/redirect decision inverted
WM_95414_MUTANT_PAIR_MASK,wrong mask construction,85760 script overrun,pair-presence bit1 from (lb==-1)
WM_95414_MUTANT_TIEBREAK_TYPEB_POLARITY,wrong branch polarity,85760 script overrun,tie-break bit1 from (typeB!=0) — the exact defect the PRE audit prose had
WM_95414_MUTANT_TIEBREAK_FOLLOW_SWAP,wrong offset,I6.node,slot3 tie-break follows +8 instead of +6
WM_95414_MUTANT_ZERO_ORDER,wrong store order,I4.zero.order,dead-end zero-out order +0/+4/+8
WM_95414_MUTANT_S4_NOT_CLEARED,state discipline,85760 script overrun,slot0 leaves the dispatch loop live
note,guard mutant,-,"sltiu->slti / off-by-one dispatch-guard mutants are behaviorally equivalent in C (the switch bounds dispatch inherently); recorded honestly instead of padding the count"
