block,va_range,role,in_edges,out_edges,calls,notes
entry,0x8008A72C-0x8008A760,prologue + slot record fetch,scheduler cb1 dispatch (a0=slot idx),substate_switch,-,"frame 0x38, saves s0-s5+ra; s1=a0 (slot idx); s5=1 (constant return); s0 = *(D_8009BE24) + a0*128; s2=0x1F800000"
substate_switch,0x8008A764-0x8008A7E0,transient substate lh slot[+4],entry,jt1_dispatch,-,"+4==3: +4=0 state(+0x20)=1; +4==2: +4=0 state=0x28; +4==6: +4=0 slot[+0x58]++ and if *(0x8009C170)==new -> state=0 *(0x8009BE10)=1 sh 0->[0x8009BD04]; else fall through"
jt1_dispatch,0x8008A7E4-0x8008A80C,main state dispatch,substate_switch,JT1 slots (see JUMP_TABLES.csv),-,"idx = lh slot[+0x20]; sltiu 0x41 guard; jr *(0x80070518 + idx*4); OOR -> common_tail"
jt2_dispatch,0x8008A810-0x8008A850,init-state sub-dispatch,JT1 slots 0/1,"resync (byte set), JT2 slots, movement_block (OOR)",wm_80090A84(slot),"[0x8006F8E5]!=0 -> resync; else r=90A84; sltiu (r-1),5; jr *(0x80070620 + (r-1)*4); r==0 or r>=6 -> movement_block"
resync,0x8008AB6C-0x8008ABB0,external resync request,jt2_dispatch,common_tail,wm_800894C8(0x2F),"slot[+0x24]=1; pos <- pool[+0x228/22C/230]; heading <- pool[+0x248]"
movement_block,0x8008A8A8-0x8008A9D8,player movement (LIVE PATH),jt2_dispatch OOR,"anim_branchA/B, mv_after_95414",“func_800245D8(slot[+0x4C],0|1), wm_800894C8(0x2F), wm_8008C1DC(0x2F slot scratch)","vel = slot[+0x38/3C/40]; if vel==0: actor byte [+0xAF]!=0 -> 245D8(ptr,0)+894C8(0x2F); else: [+0xAF]!=1 -> 245D8(ptr,1); then 8C1DC(0x2F, slot, 0x1F800000)"
mv_95414_x2,0x8008A934-0x8008A9C8,double movement resolve,movement_block,mv_result_switch,"wm_80095414(slot+0x28, slot+0x38, 0x1F800090, (lh slot[+0x4A])<<12, *(0x8009BE10)) x2","first (s16)result==0 -> copy 0x1F800090..9C -> slot[+0x38..44] (velocity rewrite) and CALL AGAIN; second (s16)==0 -> slot[+0x40]=0 slot[+0x38]=0"
mv_result_switch,0x8008A9CC-0x8008A9D8,route on (s16)result,mv_95414_x2,"mv_success (==1), mv_blocked (else)",-,-
mv_success,0x8008A9DC-0x8008AAE8,commit move,mv_result_switch,mv_common,"wm_8008C040(0x1F800090, 0x10, 0x20, 0x8009D738, 0x8009BD60); wm_8007528C(slot+0x28)","boundary check; a2 = lbu[0x8009D738] (+3 if [0x8009BD60]==7); crumb = lhu[0x8009B180 + signext(a2)<<1]; crumb!=0: pos <- 0x1F800090 block, and if (slot[+0x38]|slot[+0x40])!=0: ring append at 0x8009CEC4 + ((lhu[0x8009D154]+1)&0x1F)*0x14 (pos 4 words + heading sh +0x10), [0x8009D154] updated, 7528C(slot+0x28)"
mv_blocked,0x8008AAEC-0x8008AB0C,blocked move,mv_result_switch,mv_common,"wm_8008C040(slot+0x28, 0x10, 0x20, 0x8009D738, 0x8009BD60)",boundary check only
