case_id,wrapper,role,outcome,coverage,result
1,0x8009443C,X_POS,candidate0,"positive coordinate; grid boundary +1; negative ratio; signed mode/code; workspace vectors; four-word copy",PASS
2,0x8009443C,X_POS,candidate1,"negative coordinate; grid boundary -1; product exceeds 2^32; low-halfword success",PASS
3,0x8009443C,X_POS,neither,"positive/negative mix; nonzero low halfword; failure edge residue",PASS
4,0x800945C8,X_NEG,candidate0,"negative direction edge source; product truncation; four-word copy",PASS
5,0x800945C8,X_NEG,candidate1,"misplaced-minus-one boundary discriminator; X return 3",PASS
6,0x800945C8,X_NEG,neither,"negative coordinates; second-probe failure",PASS
7,0x80094750,Z_POS,candidate0,"Z-axis field mapping; positive seed; four-word copy",PASS
8,0x80094750,Z_POS,candidate1,"axis-swapped ratio; product truncation; Z return 2",PASS
9,0x80094750,Z_POS,neither,"orthogonal projection; failure edge residue",PASS
10,0x800948D8,Z_NEG,candidate0,"negative edge source; signed ratio; four-word copy",PASS
11,0x800948D8,Z_NEG,candidate1,"adjacent delta boundary; signed code; Z return 2",PASS
12,0x800948D8,Z_NEG,neither,"nonzero low-halfword results; full six-call sequence",PASS
13,0x8009443C,X_POS,divisor_zero,"retail break-7 path represented by SIGILL",PASS
14,0x8009443C,X_POS,division_overflow,"INT_MIN/-1 retail break-6 path represented by SIGILL",PASS
15,0x800945C8,X_NEG,divisor_zero,"retail break-7 path represented by SIGILL",PASS
16,0x800945C8,X_NEG,division_overflow,"INT_MIN/-1 retail break-6 path represented by SIGILL",PASS
17,0x80094750,Z_POS,divisor_zero,"retail break-7 path represented by SIGILL",PASS
18,0x80094750,Z_POS,division_overflow,"INT_MIN/-1 retail break-6 path represented by SIGILL",PASS
19,0x800948D8,Z_NEG,divisor_zero,"retail break-7 path represented by SIGILL",PASS
20,0x800948D8,Z_NEG,division_overflow,"INT_MIN/-1 retail break-6 path represented by SIGILL",PASS
